antecedents,consequents,support,confidence,lift,leverage,conviction
high_elderly_density,"high_elderly_share, supermarket_present",0.1917808219178082,0.56,1.7033333333333336,0.07918934133983863,1.525529265255293
"poor_food_access, supermarket_present",poor_accessibility_support,0.1872146118721461,0.6212121212121212,1.700568181818182,0.07712516419590917,1.6756164383561645
poor_accessibility_support,"poor_food_access, supermarket_present",0.1872146118721461,0.5125,1.7005681818181817,0.07712516419590917,1.4330874604847206
"hawker_present, rich_food_access",rich_accessibility_support,0.1963470319634703,0.5972222222222222,1.6985930735930737,0.08075311190342153,1.6098252243741145
"diverse_food_environment, rich_food_access",rich_accessibility_support,0.1963470319634703,0.5972222222222222,1.6985930735930737,0.08075311190342153,1.6098252243741145
"hawker_present, rich_food_access, supermarket_present",rich_accessibility_support,0.1963470319634703,0.5972222222222222,1.6985930735930737,0.08075311190342153,1.6098252243741145
"hawker_present, rich_food_access","rich_accessibility_support, supermarket_present",0.1963470319634703,0.5972222222222222,1.6985930735930737,0.08075311190342153,1.6098252243741145
"diverse_food_environment, hawker_present, rich_food_access",rich_accessibility_support,0.1963470319634703,0.5972222222222222,1.6985930735930737,0.08075311190342153,1.6098252243741145
"diverse_food_environment, rich_food_access, supermarket_present",rich_accessibility_support,0.1963470319634703,0.5972222222222222,1.6985930735930737,0.08075311190342153,1.6098252243741145
"diverse_food_environment, rich_food_access","rich_accessibility_support, supermarket_present",0.1963470319634703,0.5972222222222222,1.6985930735930737,0.08075311190342153,1.6098252243741145
rich_accessibility_support,"hawker_present, rich_food_access",0.1963470319634703,0.5584415584415584,1.6985930735930737,0.08075311190342153,1.5201450443190974
rich_accessibility_support,"diverse_food_environment, rich_food_access",0.1963470319634703,0.5584415584415584,1.6985930735930737,0.08075311190342153,1.5201450443190974
"rich_accessibility_support, supermarket_present","hawker_present, rich_food_access",0.1963470319634703,0.5584415584415584,1.6985930735930737,0.08075311190342153,1.5201450443190974
rich_accessibility_support,"hawker_present, rich_food_access, supermarket_present",0.1963470319634703,0.5584415584415584,1.6985930735930737,0.08075311190342153,1.5201450443190974
rich_accessibility_support,"diverse_food_environment, hawker_present, rich_food_access",0.1963470319634703,0.5584415584415584,1.6985930735930737,0.08075311190342153,1.5201450443190974
"rich_accessibility_support, supermarket_present","diverse_food_environment, rich_food_access",0.1963470319634703,0.5584415584415584,1.6985930735930737,0.08075311190342153,1.5201450443190974
rich_accessibility_support,"diverse_food_environment, rich_food_access, supermarket_present",0.1963470319634703,0.5584415584415584,1.6985930735930737,0.08075311190342153,1.5201450443190974
"hawker_present, rich_transit_access","diverse_food_environment, high_elderly_share",0.1278538812785388,0.5185185185185185,1.6948590381426203,0.05241758929129918,1.4415173867228661
"poor_accessibility_support, supermarket_present",poor_food_access,0.1872146118721461,0.5774647887323944,1.6861971830985916,0.07618690185775943,1.5561643835616439
poor_food_access,"poor_accessibility_support, supermarket_present",0.1872146118721461,0.5466666666666666,1.6861971830985916,0.07618690185775943,1.490733279613215
"high_elderly_share, rich_food_access",rich_accessibility_support,0.1324200913242009,0.5918367346938775,1.6832759077657038,0.053752006838889935,1.5885844748858449
"high_elderly_share, rich_food_access, supermarket_present",rich_accessibility_support,0.1324200913242009,0.5918367346938775,1.6832759077657038,0.053752006838889935,1.5885844748858449
"high_elderly_share, rich_food_access","rich_accessibility_support, supermarket_present",0.1324200913242009,0.5918367346938775,1.6832759077657038,0.053752006838889935,1.5885844748858449
"hawker_present, poor_food_access","poor_accessibility_support, supermarket_present",0.0867579908675799,0.5428571428571428,1.674446680080483,0.03494505952753279,1.478310502283105
"diverse_food_environment, rich_transit_access","hawker_present, high_elderly_share",0.1278538812785388,0.5185185185185185,1.6699346405228759,0.05129167448551948,1.4320337197049526
rich_food_access,rich_accessibility_support,0.2054794520547945,0.5844155844155844,1.6621689998313376,0.08185817643502012,1.560216894977169
rich_accessibility_support,rich_food_access,0.2054794520547945,0.5844155844155844,1.6621689998313376,0.08185817643502012,1.560216894977169
"rich_food_access, supermarket_present",rich_accessibility_support,0.2054794520547945,0.5844155844155844,1.6621689998313376,0.08185817643502012,1.560216894977169
"rich_accessibility_support, supermarket_present",rich_food_access,0.2054794520547945,0.5844155844155844,1.6621689998313376,0.08185817643502012,1.560216894977169
rich_food_access,"rich_accessibility_support, supermarket_present",0.2054794520547945,0.5844155844155844,1.6621689998313376,0.08185817643502012,1.560216894977169
rich_accessibility_support,"rich_food_access, supermarket_present",0.2054794520547945,0.5844155844155844,1.6621689998313376,0.08185817643502012,1.560216894977169
"hawker_present, high_elderly_share, rich_food_access",rich_accessibility_support,0.1278538812785388,0.5833333333333334,1.6590909090909094,0.05079126790517295,1.556164383561644
"diverse_food_environment, high_elderly_share, rich_food_access",rich_accessibility_support,0.1278538812785388,0.5833333333333334,1.6590909090909094,0.05079126790517295,1.556164383561644
"poor_accessibility_support, poor_food_access","poor_transit_access, supermarket_present",0.1141552511415525,0.5,1.6590909090909092,0.04534934634390442,1.3972602739726028
"diverse_food_environment, poor_accessibility_support","poor_food_access, supermarket_present",0.0867579908675799,0.5,1.6590909090909092,0.03446550322136736,1.3972602739726028
"diverse_food_environment, poor_transit_access","hawker_present, high_elderly_share",0.0821917808219178,0.5142857142857142,1.6563025210084033,0.032568128270886766,1.4195541230190705
"high_elderly_share, rich_accessibility_support, rich_transit_access",high_elderly_density,0.0593607305936073,0.5652173913043478,1.6504347826086956,0.02339400763120035,1.5123287671232875
"hawker_present, rich_accessibility_support","high_elderly_share, supermarket_present",0.1461187214611872,0.5423728813559322,1.649717514124294,0.05754675673985113,1.4667681380010147
"diverse_food_environment, rich_accessibility_support","high_elderly_share, supermarket_present",0.1461187214611872,0.5423728813559322,1.649717514124294,0.05754675673985113,1.4667681380010147
"hawker_present, high_elderly_share, poor_transit_access",rich_food_access,0.0502283105022831,0.5789473684210527,1.6466165413533835,0.019724359375325785,1.5399543378995437
"high_elderly_density, rich_food_access, rich_transit_access",rich_accessibility_support,0.0502283105022831,0.5789473684210527,1.6466165413533835,0.019724359375325785,1.5399543378995437
"hawker_present, high_elderly_share, rich_accessibility_support",high_elderly_density,0.0821917808219178,0.5625,1.6425,0.032151122787264654,1.5029354207436398
"diverse_food_environment, high_elderly_share, rich_accessibility_support",high_elderly_density,0.0821917808219178,0.5625,1.6425,0.032151122787264654,1.5029354207436398
high_elderly_density,high_elderly_share,0.1917808219178082,0.56,1.6352000000000002,0.07449802964908989,1.4943960149439603
high_elderly_share,high_elderly_density,0.1917808219178082,0.56,1.6352000000000002,0.07449802964908989,1.4943960149439603
"high_elderly_density, supermarket_present",high_elderly_share,0.1917808219178082,0.56,1.6352000000000002,0.07449802964908989,1.4943960149439603
high_elderly_share,"high_elderly_density, supermarket_present",0.1917808219178082,0.56,1.6352000000000002,0.07449802964908989,1.4943960149439603
"hawker_present, poor_transit_access","diverse_food_environment, high_elderly_share",0.0821917808219178,0.5,1.6343283582089554,0.03190091949709139,1.3881278538812785
rich_transit_access,rich_food_access,0.1963470319634703,0.5733333333333334,1.630649350649351,0.07593669856758617,1.5196917808219181
"rich_transit_access, supermarket_present",rich_food_access,0.1963470319634703,0.5733333333333334,1.630649350649351,0.07593669856758617,1.5196917808219181
rich_transit_access,"rich_food_access, supermarket_present",0.1963470319634703,0.5733333333333334,1.630649350649351,0.07593669856758617,1.5196917808219181
rich_food_access,rich_transit_access,0.1963470319634703,0.5584415584415584,1.6306493506493507,0.07593669856758617,1.489121676067687
"rich_food_access, supermarket_present",rich_transit_access,0.1963470319634703,0.5584415584415584,1.6306493506493507,0.07593669856758617,1.489121676067687
rich_food_access,"rich_transit_access, supermarket_present",0.1963470319634703,0.5584415584415584,1.6306493506493507,0.07593669856758617,1.489121676067687
"hawker_present, rich_food_access",high_elderly_density,0.182648401826484,0.5555555555555556,1.6222222222222225,0.07005692124851443,1.4794520547945205
"diverse_food_environment, rich_food_access",high_elderly_density,0.182648401826484,0.5555555555555556,1.6222222222222225,0.07005692124851443,1.4794520547945205
"hawker_present, rich_food_access, supermarket_present",high_elderly_density,0.182648401826484,0.5555555555555556,1.6222222222222225,0.07005692124851443,1.4794520547945205
"hawker_present, rich_food_access","high_elderly_density, supermarket_present",0.182648401826484,0.5555555555555556,1.6222222222222225,0.07005692124851443,1.4794520547945205
"diverse_food_environment, hawker_present, rich_food_access",high_elderly_density,0.182648401826484,0.5555555555555556,1.6222222222222225,0.07005692124851443,1.4794520547945205
"diverse_food_environment, rich_food_access, supermarket_present",high_elderly_density,0.182648401826484,0.5555555555555556,1.6222222222222225,0.07005692124851443,1.4794520547945205
"diverse_food_environment, rich_food_access","high_elderly_density, supermarket_present",0.182648401826484,0.5555555555555556,1.6222222222222225,0.07005692124851443,1.4794520547945205
high_elderly_density,"hawker_present, rich_food_access",0.182648401826484,0.5333333333333333,1.6222222222222222,0.07005692124851443,1.4383561643835616
high_elderly_density,"diverse_food_environment, rich_food_access",0.182648401826484,0.5333333333333333,1.6222222222222222,0.07005692124851443,1.4383561643835616
"high_elderly_density, supermarket_present","hawker_present, rich_food_access",0.182648401826484,0.5333333333333333,1.6222222222222222,0.07005692124851443,1.4383561643835616
high_elderly_density,"hawker_present, rich_food_access, supermarket_present",0.182648401826484,0.5333333333333333,1.6222222222222222,0.07005692124851443,1.4383561643835616
high_elderly_density,"diverse_food_environment, hawker_present, rich_food_access",0.182648401826484,0.5333333333333333,1.6222222222222222,0.07005692124851443,1.4383561643835616
"high_elderly_density, supermarket_present","diverse_food_environment, rich_food_access",0.182648401826484,0.5333333333333333,1.6222222222222222,0.07005692124851443,1.4383561643835616
high_elderly_density,"diverse_food_environment, rich_food_access, supermarket_present",0.182648401826484,0.5333333333333333,1.6222222222222222,0.07005692124851443,1.4383561643835616
"poor_transit_access, supermarket_present",poor_accessibility_support,0.1780821917808219,0.5909090909090909,1.6176136363636366,0.06799274410458497,1.551496702181634
"high_elderly_density, rich_accessibility_support",rich_transit_access,0.0730593607305936,0.5517241379310345,1.6110344827586207,0.027710014386689186,1.4668071654373023
"high_elderly_density, rich_accessibility_support, supermarket_present",rich_transit_access,0.0730593607305936,0.5517241379310345,1.6110344827586207,0.027710014386689186,1.4668071654373023
"high_elderly_density, rich_accessibility_support","rich_transit_access, supermarket_present",0.0730593607305936,0.5517241379310345,1.6110344827586207,0.027710014386689186,1.4668071654373023
"poor_accessibility_support, supermarket_present",poor_transit_access,0.1780821917808219,0.5492957746478874,1.6039436619718312,0.06705448176643523,1.4589041095890412
poor_transit_access,"poor_accessibility_support, supermarket_present",0.1780821917808219,0.52,1.603943661971831,0.06705448176643523,1.4079147640791476
poor_transit_access,poor_food_access,0.1872146118721461,0.5466666666666666,1.5962666666666667,0.06993181960342779,1.45044319097502
poor_food_access,poor_transit_access,0.1872146118721461,0.5466666666666666,1.5962666666666667,0.06993181960342779,1.45044319097502
"high_elderly_share, rich_accessibility_support",high_elderly_density,0.0867579908675799,0.5428571428571428,1.5851428571428572,0.03202602114217802,1.4383561643835614
"high_elderly_share, rich_accessibility_support, supermarket_present",high_elderly_density,0.0867579908675799,0.5428571428571428,1.5851428571428572,0.03202602114217802,1.4383561643835614
"high_elderly_share, rich_accessibility_support","high_elderly_density, supermarket_present",0.0867579908675799,0.5428571428571428,1.5851428571428572,0.03202602114217802,1.4383561643835614
"hawker_present, rich_accessibility_support",high_elderly_share,0.1461187214611872,0.5423728813559322,1.5837288135593222,0.05385625820979546,1.4368340943683409
"diverse_food_environment, rich_accessibility_support",high_elderly_share,0.1461187214611872,0.5423728813559322,1.5837288135593222,0.05385625820979546,1.4368340943683409
"hawker_present, rich_accessibility_support, supermarket_present",high_elderly_share,0.1461187214611872,0.5423728813559322,1.5837288135593222,0.05385625820979546,1.4368340943683409
"diverse_food_environment, hawker_present, rich_accessibility_support",high_elderly_share,0.1461187214611872,0.5423728813559322,1.5837288135593222,0.05385625820979546,1.4368340943683409
"diverse_food_environment, rich_accessibility_support, supermarket_present",high_elderly_share,0.1461187214611872,0.5423728813559322,1.5837288135593222,0.05385625820979546,1.4368340943683409
rich_transit_access,"hawker_present, rich_food_access",0.1780821917808219,0.52,1.5816666666666668,0.06549071120285233,1.3984018264840183
rich_transit_access,"diverse_food_environment, rich_food_access",0.1780821917808219,0.52,1.5816666666666668,0.06549071120285233,1.3984018264840183
"rich_transit_access, supermarket_present","hawker_present, rich_food_access",0.1780821917808219,0.52,1.5816666666666668,0.06549071120285233,1.3984018264840183
rich_transit_access,"hawker_present, rich_food_access, supermarket_present",0.1780821917808219,0.52,1.5816666666666668,0.06549071120285233,1.3984018264840183
rich_transit_access,"diverse_food_environment, hawker_present, rich_food_access",0.1780821917808219,0.52,1.5816666666666668,0.06549071120285233,1.3984018264840183
"rich_transit_access, supermarket_present","diverse_food_environment, rich_food_access",0.1780821917808219,0.52,1.5816666666666668,0.06549071120285233,1.3984018264840183
rich_transit_access,"diverse_food_environment, rich_food_access, supermarket_present",0.1780821917808219,0.52,1.5816666666666668,0.06549071120285233,1.3984018264840183
"hawker_present, rich_food_access",rich_transit_access,0.1780821917808219,0.5416666666666666,1.5816666666666666,0.06549071120285233,1.4346201743462015
"diverse_food_environment, rich_food_access",rich_transit_access,0.1780821917808219,0.5416666666666666,1.5816666666666666,0.06549071120285233,1.4346201743462015
"hawker_present, rich_food_access, supermarket_present",rich_transit_access,0.1780821917808219,0.5416666666666666,1.5816666666666666,0.06549071120285233,1.4346201743462015
"hawker_present, rich_food_access","rich_transit_access, supermarket_present",0.1780821917808219,0.5416666666666666,1.5816666666666666,0.06549071120285233,1.4346201743462015
"diverse_food_environment, hawker_present, rich_food_access",rich_transit_access,0.1780821917808219,0.5416666666666666,1.5816666666666666,0.06549071120285233,1.4346201743462015
"diverse_food_environment, rich_food_access, supermarket_present",rich_transit_access,0.1780821917808219,0.5416666666666666,1.5816666666666666,0.06549071120285233,1.4346201743462015
"diverse_food_environment, rich_food_access","rich_transit_access, supermarket_present",0.1780821917808219,0.5416666666666666,1.5816666666666666,0.06549071120285233,1.4346201743462015
"hawker_present, rich_transit_access","high_elderly_share, supermarket_present",0.1278538812785388,0.5185185185185185,1.5771604938271604,0.0467880152624007,1.394099051633298
"diverse_food_environment, rich_transit_access","high_elderly_share, supermarket_present",0.1278538812785388,0.5185185185185185,1.5771604938271604,0.0467880152624007,1.394099051633298
"high_elderly_share, poor_transit_access, supermarket_present",rich_food_access,0.0502283105022831,0.55,1.5642857142857145,0.018118888263380664,1.4408929477422632
"hawker_present, poor_food_access",poor_accessibility_support,0.091324200913242,0.5714285714285714,1.5642857142857143,0.03294343320614666,1.4809741248097412
